Epoch,MIA Forget Acc,MIA Retain Acc,MIA Forget F1,MIA Retain F1,MIA Forget Precision,MIA Retain Precision,MIA Forget Recall,MIA Retain Recall,Train Acc,Val Acc,Test Acc,Forget Acc
0,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2863070539419087,0.2863070539419087,1.0
1,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2863070539419087,0.2863070539419087,1.0
2,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2863070539419087,0.2863070539419087,1.0
3,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2863070539419087,0.2863070539419087,1.0
4,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2863070539419087,0.2863070539419087,1.0
5,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2883817427385892,0.2883817427385892,1.0
6,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2883817427385892,0.2883817427385892,1.0
7,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2863070539419087,0.2863070539419087,1.0
8,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2863070539419087,0.2863070539419087,1.0
9,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2842323651452282,0.2842323651452282,1.0
10,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2842323651452282,0.2842323651452282,1.0
11,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9974009096816114,0.2842323651452282,0.2842323651452282,1.0
12,0.85,0.9,0.8571428571428571,0.9090909090909091,0.8181818181818182,0.8333333333333334,0.9,1.0,0.9974009096816114,0.2821576763485477,0.2821576763485477,1.0
13,0.85,0.9,0.8571428571428571,0.9090909090909091,0.8181818181818182,0.8333333333333334,0.9,1.0,0.9974009096816114,0.2800829875518672,0.2800829875518672,1.0
14,0.85,0.9,0.8571428571428571,0.9090909090909091,0.8181818181818182,0.8333333333333334,0.9,1.0,0.9980506822612085,0.27800829875518673,0.27800829875518673,1.0
15,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,0.9980506822612085,0.27800829875518673,0.27800829875518673,1.0
16,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,0.9980506822612085,0.27800829875518673,0.27800829875518673,1.0
17,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,0.9980506822612085,0.27593360995850624,0.27593360995850624,1.0
18,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,0.9980506822612085,0.2717842323651452,0.2717842323651452,1.0
19,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,0.9980506822612085,0.2676348547717842,0.2676348547717842,1.0
20,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,0.9980506822612085,0.26348547717842324,0.26348547717842324,1.0
21,0.65,0.9,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.8333333333333334,0.5,1.0,0.9980506822612085,0.26348547717842324,0.26348547717842324,1.0
22,0.65,0.9,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.8333333333333334,0.5,1.0,0.9980506822612085,0.26348547717842324,0.26348547717842324,1.0
23,0.65,0.9,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.8333333333333334,0.5,1.0,0.9980506822612085,0.26348547717842324,0.26348547717842324,1.0
24,0.65,0.9,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.8333333333333334,0.5,1.0,0.9980506822612085,0.25933609958506226,0.25933609958506226,1.0
25,0.6,0.85,0.5,0.8571428571428571,0.6666666666666666,0.8181818181818182,0.4,0.9,0.9980506822612085,0.2572614107883817,0.2572614107883817,1.0
26,0.6,0.85,0.5,0.8571428571428571,0.6666666666666666,0.8181818181818182,0.4,0.9,0.9974009096816114,0.2551867219917012,0.2551867219917012,1.0
27,0.55,0.8,0.4,0.8,0.6,0.8,0.3,0.8,0.9941520467836257,0.2572614107883817,0.2572614107883817,0.8
28,0.45,0.7,0.26666666666666666,0.7,0.4,0.7,0.2,0.7,0.9922027290448343,0.2551867219917012,0.2551867219917012,0.8
29,0.45,0.65,0.26666666666666666,0.631578947368421,0.4,0.6666666666666666,0.2,0.6,0.9896036387264457,0.2572614107883817,0.2572614107883817,0.8
