Epoch,MIA Forget Acc,MIA Retain Acc,MIA Forget F1,MIA Retain F1,MIA Forget Precision,MIA Retain Precision,MIA Forget Recall,MIA Retain Recall,Train Acc,Val Acc,Test Acc,Forget Acc
0,0.8297213622291022,0.8235294117647058,0.8455056179775281,0.8389830508474576,0.7737789203084833,0.7714285714285715,0.9318885448916409,0.9195046439628483,1.0,0.4875,0.4875,1.0
1,0.8297213622291022,0.8235294117647058,0.8455056179775281,0.8389830508474576,0.7737789203084833,0.7714285714285715,0.9318885448916409,0.9195046439628483,1.0,0.48775,0.48775,1.0
2,0.8281733746130031,0.8235294117647058,0.8438818565400844,0.8389830508474576,0.7731958762886598,0.7714285714285715,0.9287925696594427,0.9195046439628483,1.0,0.4875,0.4875,1.0
3,0.8297213622291022,0.8235294117647058,0.8455056179775281,0.8389830508474576,0.7737789203084833,0.7714285714285715,0.9318885448916409,0.9195046439628483,1.0,0.4875,0.4875,1.0
4,0.8312693498452013,0.8219814241486069,0.847124824684432,0.8373408769448374,0.7743589743589744,0.7708333333333334,0.934984520123839,0.9164086687306502,1.0,0.4875,0.4875,1.0
5,0.8281733746130031,0.8235294117647058,0.8438818565400844,0.8389830508474576,0.7731958762886598,0.7714285714285715,0.9287925696594427,0.9195046439628483,1.0,0.4875,0.4875,1.0
6,0.8297213622291022,0.8250773993808049,0.8455056179775281,0.840620592383639,0.7737789203084833,0.772020725388601,0.9318885448916409,0.9226006191950464,1.0,0.48775,0.48775,1.0
7,0.8281733746130031,0.8250773993808049,0.8438818565400844,0.840620592383639,0.7731958762886598,0.772020725388601,0.9287925696594427,0.9226006191950464,1.0,0.48775,0.48775,1.0
8,0.826625386996904,0.8219814241486069,0.8422535211267606,0.8373408769448374,0.772609819121447,0.7708333333333334,0.9256965944272446,0.9164086687306502,1.0,0.48775,0.48775,1.0
9,0.8235294117647058,0.8219814241486069,0.8389830508474576,0.8373408769448374,0.7714285714285715,0.7708333333333334,0.9195046439628483,0.9164086687306502,1.0,0.48775,0.48775,1.0
10,0.826625386996904,0.8235294117647058,0.8426966292134831,0.8394366197183099,0.7712082262210797,0.7700258397932817,0.9287925696594427,0.9226006191950464,1.0,0.48775,0.48775,1.0
11,0.826625386996904,0.826625386996904,0.8418079096045198,0.8418079096045198,0.7740259740259741,0.7740259740259741,0.9226006191950464,0.9226006191950464,1.0,0.48775,0.48775,1.0
