Epoch,MIA Forget Acc,MIA Retain Acc,MIA Forget F1,MIA Retain F1,MIA Forget Precision,MIA Retain Precision,MIA Forget Recall,MIA Retain Recall,Train Acc,Val Acc,Test Acc,Forget Acc
0,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9980506822612085,0.2925311203319502,0.2925311203319502,1.0
1,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.2883817427385892,0.2883817427385892,1.0
2,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.2987551867219917,0.2987551867219917,1.0
3,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.29045643153526973,0.29045643153526973,1.0
4,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9980506822612085,0.2842323651452282,0.2842323651452282,1.0
5,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.2863070539419087,0.2863070539419087,1.0
6,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9987004548408057,0.2987551867219917,0.2987551867219917,1.0
7,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.2842323651452282,0.2842323651452282,1.0
8,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.2863070539419087,0.2863070539419087,1.0
9,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9987004548408057,0.2987551867219917,0.2987551867219917,1.0
10,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9987004548408057,0.2987551867219917,0.2987551867219917,1.0
11,0.8,0.85,0.8181818181818182,0.8695652173913043,0.75,0.7692307692307693,0.9,1.0,0.9987004548408057,0.29045643153526973,0.29045643153526973,1.0
12,0.8,0.9,0.8,0.9090909090909091,0.8,0.8333333333333334,0.8,1.0,0.9987004548408057,0.2925311203319502,0.2925311203319502,0.9
13,0.8,0.85,0.8181818181818182,0.8695652173913043,0.75,0.7692307692307693,0.9,1.0,0.9987004548408057,0.2987551867219917,0.2987551867219917,0.9
14,0.75,0.85,0.7368421052631579,0.8571428571428571,0.7777777777777778,0.8181818181818182,0.7,0.9,0.9987004548408057,0.27800829875518673,0.27800829875518673,0.8
15,0.65,0.65,0.6956521739130435,0.6956521739130435,0.6153846153846154,0.6153846153846154,0.8,0.8,0.9967511371020142,0.3070539419087137,0.3070539419087137,0.8
16,0.75,0.8,0.7619047619047619,0.8181818181818182,0.7272727272727273,0.75,0.8,0.9,0.9987004548408057,0.3070539419087137,0.3070539419087137,0.8
17,0.75,0.85,0.7619047619047619,0.8695652173913043,0.7272727272727273,0.7692307692307693,0.8,1.0,0.9987004548408057,0.3029045643153527,0.3029045643153527,0.7
18,0.65,0.8,0.631578947368421,0.8181818181818182,0.6666666666666666,0.75,0.6,0.9,0.9980506822612085,0.3132780082987552,0.3132780082987552,0.7
19,0.75,0.85,0.7368421052631579,0.8571428571428571,0.7777777777777778,0.8181818181818182,0.7,0.9,0.9987004548408057,0.3112033195020747,0.3112033195020747,0.7
20,0.7,0.85,0.7,0.8695652173913043,0.7,0.7692307692307693,0.7,1.0,0.9961013645224172,0.2883817427385892,0.2883817427385892,0.7
21,0.6,0.9,0.5,0.9090909090909091,0.6666666666666666,0.8333333333333334,0.4,1.0,0.9993502274204028,0.3008298755186722,0.3008298755186722,0.5
22,0.65,0.85,0.631578947368421,0.8695652173913043,0.6666666666666666,0.7692307692307693,0.6,1.0,0.9974009096816114,0.3029045643153527,0.3029045643153527,0.3
23,0.65,0.75,0.5333333333333333,0.7058823529411765,0.8,0.8571428571428571,0.4,0.6,0.9525666016894087,0.22199170124481327,0.22199170124481327,0.5
24,0.7,0.8,0.6666666666666666,0.8,0.75,0.8,0.6,0.8,0.9987004548408057,0.31950207468879666,0.31950207468879666,0.3
25,0.6,0.6,0.6363636363636364,0.6363636363636364,0.5833333333333334,0.5833333333333334,0.7,0.7,0.9759584145549057,0.2925311203319502,0.2925311203319502,0.3
26,0.6,0.7,0.6363636363636364,0.75,0.5833333333333334,0.6428571428571429,0.7,0.9,0.9948018193632229,0.3215767634854772,0.3215767634854772,0.3
27,0.55,0.65,0.6086956521739131,0.72,0.5384615384615384,0.6,0.7,0.9,0.9233268356075374,0.3008298755186722,0.3008298755186722,0.2
28,0.6,0.7,0.6,0.7272727272727273,0.6,0.6666666666666666,0.6,0.8,0.9116309291747888,0.2883817427385892,0.2883817427385892,0.0
29,0.6,0.65,0.6,0.6666666666666666,0.6,0.6363636363636364,0.6,0.7,0.9337231968810916,0.2925311203319502,0.2925311203319502,0.0
