Epoch,MIA Forget Acc,MIA Retain Acc,MIA Forget F1,MIA Retain F1,MIA Forget Precision,MIA Retain Precision,MIA Forget Recall,MIA Retain Recall,Train Acc,Val Acc,Test Acc,Forget Acc
0,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9980506822612085,0.3091286307053942,0.3091286307053942,1.0
1,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.27800829875518673,0.27800829875518673,1.0
2,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.2946058091286307,0.2946058091286307,1.0
3,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.2863070539419087,0.2863070539419087,1.0
4,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9987004548408057,0.2925311203319502,0.2925311203319502,1.0
5,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.2946058091286307,0.2946058091286307,1.0
6,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9993502274204028,0.3029045643153527,0.3029045643153527,1.0
7,0.9,0.9,0.9090909090909091,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9987004548408057,0.2800829875518672,0.2800829875518672,1.0
8,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9987004548408057,0.27800829875518673,0.27800829875518673,1.0
9,0.85,0.85,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.7692307692307693,1.0,1.0,0.9980506822612085,0.27385892116182575,0.27385892116182575,1.0
10,0.85,0.9,0.8571428571428571,0.9090909090909091,0.8181818181818182,0.8333333333333334,0.9,1.0,0.9974009096816114,0.26556016597510373,0.26556016597510373,1.0
11,0.85,0.75,0.8695652173913043,0.7619047619047619,0.7692307692307693,0.7272727272727273,1.0,0.8,0.9967511371020142,0.2987551867219917,0.2987551867219917,1.0
12,0.8,0.8,0.8181818181818182,0.8181818181818182,0.75,0.75,0.9,0.9,0.9980506822612085,0.2946058091286307,0.2946058091286307,1.0
13,0.75,0.85,0.7619047619047619,0.8695652173913043,0.7272727272727273,0.7692307692307693,0.8,1.0,0.9980506822612085,0.3029045643153527,0.3029045643153527,0.9
14,0.7,0.85,0.7,0.8695652173913043,0.7,0.7692307692307693,0.7,1.0,0.9987004548408057,0.2925311203319502,0.2925311203319502,0.9
15,0.7,0.8,0.6666666666666666,0.8,0.75,0.8,0.6,0.8,1.0,0.31742738589211617,0.31742738589211617,0.7
16,0.75,0.9,0.7368421052631579,0.9090909090909091,0.7777777777777778,0.8333333333333334,0.7,1.0,0.9967511371020142,0.2925311203319502,0.2925311203319502,0.7
17,0.75,0.85,0.7619047619047619,0.8695652173913043,0.7272727272727273,0.7692307692307693,0.8,1.0,1.0,0.3070539419087137,0.3070539419087137,0.7
18,0.6,0.8,0.6,0.8333333333333334,0.6,0.7142857142857143,0.6,1.0,0.9948018193632229,0.31742738589211617,0.31742738589211617,0.6
19,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.9766081871345029,0.2842323651452282,0.2842323651452282,0.5
20,0.75,0.75,0.7058823529411765,0.7058823529411765,0.8571428571428571,0.8571428571428571,0.6,0.6,0.9837556855100714,0.26556016597510373,0.26556016597510373,0.5
21,0.4,0.4,0.45454545454545453,0.45454545454545453,0.4166666666666667,0.4166666666666667,0.5,0.5,0.8005198180636777,0.3091286307053942,0.3091286307053942,0.1
22,0.65,0.65,0.5882352941176471,0.5882352941176471,0.7142857142857143,0.7142857142857143,0.5,0.5,0.9382716049382716,0.26348547717842324,0.26348547717842324,0.4
23,0.55,0.7,0.47058823529411764,0.7,0.5714285714285714,0.7,0.4,0.7,0.9740090968161144,0.2987551867219917,0.2987551867219917,0.3
24,0.75,0.8,0.6666666666666666,0.75,1.0,1.0,0.5,0.6,0.9519168291098116,0.34232365145228216,0.34232365145228216,0.1
25,0.7,0.75,0.6666666666666666,0.7368421052631579,0.75,0.7777777777777778,0.6,0.7,0.9031838856400259,0.25311203319502074,0.25311203319502074,0.1
26,0.55,0.6,0.5714285714285714,0.6363636363636364,0.5454545454545454,0.5833333333333334,0.6,0.7,0.9408706952566601,0.24688796680497926,0.24688796680497926,0.1
27,0.7,0.75,0.7,0.7619047619047619,0.7,0.7272727272727273,0.7,0.8,0.958414554905783,0.2987551867219917,0.2987551867219917,0.0
28,0.85,0.7,0.8235294117647058,0.5714285714285714,1.0,1.0,0.7,0.4,0.9207277452891488,0.2863070539419087,0.2863070539419087,0.1
29,0.7,0.5,0.7272727272727273,0.4444444444444444,0.6666666666666666,0.5,0.8,0.4,0.889538661468486,0.34024896265560167,0.34024896265560167,0.0
